protein_family,best_model,best_metric,best_score
GPCR,mlp,f1_score,0.9941
IC,rf,f1_score,0.9714
Enzyme,rf,f1_score,0.9989
Kinase,svc,f1_score,0.9955
Enzyme,mlp,f1_score,0.9994
Enzyme,mlp,f1_score,0.9908
Kinase,xgb,f1_score,0.9978
Enzyme,svc,f1_score,1.0
GPCR,svc,f1_score,0.9979
Enzyme,svc,f1_score,0.9972
Other,svc,f1_score,1.0
Transporter,rf,f1_score,0.9795
Enzyme,xgb,f1_score,1.0
GPCR,rf,f1_score,0.9979
Epigenetic,rf,f1_score,1.0
Kinase,xgb,f1_score,1.0
GPCR,xgb,f1_score,1.0
Enzyme,xgb,f1_score,1.0
IC,svc,f1_score,0.9921
GPCR,mlp,f1_score,0.9988
Kinase,svc,f1_score,0.9958
Enzyme,svc,f1_score,1.0
Enzyme,svc,f1_score,1.0
GPCR,mlp,f1_score,0.9965
Epigenetic,xgb,f1_score,0.9771
GPCR,svc,f1_score,0.998
GPCR,rf,f1_score,0.9902
Enzyme,rf,f1_score,1.0
GPCR,rf,f1_score,0.9968
Kinase,rf,f1_score,0.9976
Other,rf,f1_score,1.0
Kinase,svc,f1_score,0.9892
Enzyme,rf,f1_score,1.0
Epigenetic,rf,f1_score,0.9839
Epigenetic,mlp,f1_score,0.9973
Kinase,rf,f1_score,0.9922
Enzyme,svc,f1_score,0.9777
Transporter,rf,f1_score,1.0
