,protein_family,xgb_accuracy,xgb_f1_score,xgb_cohen_kappa,xgb_mcc,rf_accuracy,rf_f1_score,rf_cohen_kappa,rf_mcc,svc_accuracy,svc_f1_score,svc_cohen_kappa,svc_mcc,mlp_accuracy,mlp_f1_score,mlp_cohen_kappa,mlp_mcc,train_count,test_count,actives_count,decoys_count,best_model,best_metric,best_score
Q07869,NR,0.9974,0.9974,0.9841,0.9842,0.9974,0.9974,0.9841,0.9842,0.9935,0.9935,0.9609,0.961,0.9883,0.9882,0.9288,0.9288,3062,766,348,3480,xgb,f1_score,0.9974
P23415,IC,0.8421,0.8073,0.1857,0.2211,0.9211,0.9181,0.6816,0.6854,0.9211,0.927,0.7532,0.7773,0.8684,0.8494,0.3791,0.4085,148,38,31,155,svc,f1_score,0.927
O00444,Kinase,0.9867,0.9862,0.9158,0.9191,0.9933,0.9932,0.9593,0.9601,0.9867,0.9871,0.926,0.9285,0.9867,0.9862,0.9158,0.9191,598,150,68,680,rf,f1_score,0.9932
P28222,GPCR,0.9841,0.9835,0.8967,0.9005,0.9841,0.9834,0.8957,0.9006,0.985,0.9852,0.9119,0.9125,0.9868,0.9867,0.9188,0.919,4532,1133,515,5150,mlp,f1_score,0.9867
P49336,Kinase,0.9762,0.9669,0.206,0.3389,1.0,1.0,1.0,1.0,0.9984,0.9984,0.9706,0.971,0.9936,0.994,0.8915,0.8968,2516,629,85,3060,rf,f1_score,1.0
Q9UBY5,GPCR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67,17,28,56,xgb,f1_score,1.0
O00311,Kinase,0.9918,0.9911,0.8195,0.8332,0.9991,0.9991,0.9826,0.9827,0.9973,0.9973,0.951,0.9521,0.9964,0.9962,0.9267,0.9292,4410,1103,149,5364,rf,f1_score,0.9991
P21731,GPCR,0.9954,0.9954,0.9718,0.9719,0.9969,0.9969,0.9811,0.9812,0.9908,0.9908,0.9449,0.9451,0.9938,0.9938,0.9627,0.9627,2596,649,295,2950,rf,f1_score,0.9969
P07900,Other,0.9922,0.9921,0.9513,0.9521,0.9942,0.9941,0.9636,0.9642,0.989,0.9891,0.9347,0.935,0.9922,0.9921,0.9519,0.9522,6168,1543,701,7010,rf,f1_score,0.9941
O96013,Kinase,0.9722,0.9716,0.8269,0.8283,0.9907,0.9905,0.9423,0.9439,1.0,1.0,1.0,1.0,0.9815,0.9815,0.8898,0.8898,431,108,49,490,svc,f1_score,1.0
Q8TDS4,GPCR,0.9847,0.9841,0.9008,0.9053,0.9847,0.9841,0.9008,0.9053,0.9847,0.9844,0.9047,0.9057,0.9847,0.9841,0.9008,0.9053,1047,262,119,1190,svc,f1_score,0.9844
P11229,GPCR,0.9521,0.952,0.8916,0.8916,0.9491,0.9487,0.8835,0.8845,0.9222,0.9232,0.83,0.8335,0.9371,0.9371,0.858,0.858,1334,334,556,1112,xgb,f1_score,0.952
P07384,Other,0.9903,0.9901,0.9391,0.9401,0.9988,0.9988,0.9926,0.9926,0.9939,0.994,0.9636,0.9636,0.9927,0.9928,0.9565,0.9566,3300,825,375,3750,rf,f1_score,0.9988
Q13258,GPCR,0.9976,0.9977,0.986,0.9861,0.9976,0.9976,0.9857,0.9858,0.9929,0.993,0.9581,0.9582,0.9835,0.9828,0.8925,0.8977,1698,425,193,1930,xgb,f1_score,0.9977
P43119,GPCR,0.9795,0.9782,0.8586,0.8673,0.9932,0.993,0.9563,0.9572,0.9863,0.9863,0.9156,0.9156,0.9932,0.993,0.9563,0.9572,580,146,66,660,rf,f1_score,0.993
P08908,GPCR,0.9843,0.9843,0.9646,0.9646,0.9764,0.9764,0.9468,0.9469,0.9725,0.9725,0.9382,0.9382,0.9788,0.9788,0.9523,0.9523,5090,1273,2121,4242,xgb,f1_score,0.9843
Q969F8,GPCR,0.9885,0.9887,0.9325,0.9327,0.9962,0.9962,0.9775,0.9777,1.0,1.0,1.0,1.0,0.9924,0.9924,0.9541,0.9541,1047,262,119,1190,svc,f1_score,1.0
Q9NS75,GPCR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9446,0.7041,0.7371,316,80,36,360,xgb,f1_score,1.0
P14780,Enzyme,0.9973,0.9972,0.9832,0.9833,0.997,0.997,0.9817,0.9818,0.9945,0.9946,0.9672,0.9672,0.9978,0.9978,0.9865,0.9865,16068,4018,1826,18260,mlp,f1_score,0.9978
P43115,GPCR,0.9961,0.9961,0.976,0.9763,0.9961,0.9961,0.976,0.9763,0.9961,0.9961,0.976,0.9763,0.9948,0.9948,0.9686,0.9686,3097,775,352,3520,xgb,f1_score,0.9961
O43613,GPCR,0.9874,0.9873,0.9714,0.9718,0.9905,0.9905,0.9786,0.9788,0.9716,0.9717,0.9367,0.9369,0.9811,0.9811,0.9575,0.9575,1267,317,528,1056,rf,f1_score,0.9905
P08684,Enzyme,0.9744,0.9725,0.8285,0.841,0.9744,0.9725,0.8285,0.841,0.9487,0.9522,0.7412,0.7524,0.9573,0.9563,0.7385,0.7395,466,117,53,530,xgb,f1_score,0.9725
O75908,Enzyme,0.9951,0.9951,0.9703,0.9707,0.9951,0.9951,0.9703,0.9707,0.9805,0.9809,0.8892,0.8906,0.9951,0.9951,0.9703,0.9707,818,205,93,930,xgb,f1_score,0.9951
Q86X55,Epigenetic,0.9718,0.9692,0.7855,0.8042,0.9859,0.9864,0.9154,0.9187,0.9859,0.9864,0.9154,0.9187,1.0,1.0,1.0,1.0,281,71,32,320,mlp,f1_score,1.0
Q9Y2I1,Other,0.9654,0.9633,0.7642,0.7719,0.9792,0.9785,0.8638,0.8673,0.9689,0.9701,0.825,0.8289,0.9827,0.9828,0.8961,0.8963,1152,289,131,1310,mlp,f1_score,0.9828
O60218,Enzyme,0.9717,0.9694,0.8087,0.8239,0.9811,0.9802,0.8787,0.8853,0.9623,0.9638,0.7973,0.8014,0.9717,0.971,0.8266,0.828,422,106,48,480,rf,f1_score,0.9802
P14555,Enzyme,0.9886,0.9882,0.9271,0.9296,0.9886,0.9882,0.9271,0.9296,0.9943,0.9942,0.9646,0.9652,0.9886,0.9882,0.9271,0.9296,1399,350,159,1590,svc,f1_score,0.9942
Q16548,Other,0.963,0.9642,0.8861,0.8919,1.0,1.0,1.0,1.0,0.963,0.9642,0.8861,0.8919,0.8148,0.8066,0.335,0.338,105,27,22,110,rf,f1_score,1.0
P62993,Other,0.9955,0.9954,0.931,0.9333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997,0.9971,0.9585,0.9593,2687,672,119,3240,rf,f1_score,1.0
Q8TEK3,Epigenetic,0.9855,0.986,0.9151,0.9184,0.9855,0.986,0.9151,0.9184,1.0,1.0,1.0,1.0,0.9855,0.9849,0.9013,0.9057,272,69,31,310,svc,f1_score,1.0
Q96LA8,Epigenetic,0.9574,0.9508,0.6466,0.6912,1.0,1.0,1.0,1.0,0.9787,0.9798,0.8773,0.884,1.0,1.0,1.0,1.0,184,47,21,210,rf,f1_score,1.0
P42892,Enzyme,0.9915,0.9908,0.8098,0.8248,0.9963,0.9962,0.9244,0.9271,0.9979,0.9979,0.9589,0.9591,0.9952,0.9951,0.9048,0.906,7548,1887,255,9180,svc,f1_score,0.9979
P11388,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333,0.8456,0.5,0.5164,96,24,20,100,xgb,f1_score,1.0
P11166,Transporter,0.9655,0.9659,0.9254,0.928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,29,48,96,rf,f1_score,1.0
Q15119,Kinase,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9885,0.9888,0.9348,0.9368,695,174,79,790,xgb,f1_score,1.0
Q12884,Enzyme,0.9796,0.9784,0.8641,0.8722,0.9949,0.9948,0.9686,0.9691,0.9847,0.9849,0.9105,0.9109,1.0,1.0,1.0,1.0,783,196,89,890,mlp,f1_score,1.0
Q9NTG7,Epigenetic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9892,0.9895,0.9353,0.9372,369,93,42,420,xgb,f1_score,1.0
P22413,Enzyme,0.9592,0.9528,0.6475,0.6919,0.9796,0.9782,0.8464,0.8566,0.9184,0.9256,0.5566,0.5708,0.9796,0.9782,0.8464,0.8566,193,49,22,220,rf,f1_score,0.9782
Q5TC84,Other,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9574,0.958,0.908,0.9119,184,47,77,154,xgb,f1_score,1.0
Q16445,IC,0.85,0.8441,0.5714,0.5774,1.0,1.0,1.0,1.0,0.95,0.9514,0.875,0.8819,0.85,0.8247,0.5,0.5774,76,20,24,72,rf,f1_score,1.0
Q8TCT1,Enzyme,0.9677,0.9648,0.7832,0.8023,0.9839,0.9832,0.9003,0.9048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,246,62,28,280,svc,f1_score,1.0
P42785,Enzyme,0.9928,0.9923,0.8432,0.8538,0.9953,0.9951,0.9036,0.9078,0.9953,0.9954,0.9149,0.9156,0.9962,0.9961,0.9237,0.9253,9442,2361,319,11484,mlp,f1_score,0.9961
P13807,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,281,71,32,320,xgb,f1_score,1.0
Q13822,Enzyme,0.9821,0.9816,0.885,0.8864,0.9776,0.9761,0.8452,0.8556,0.9731,0.9737,0.8423,0.8435,0.9821,0.9812,0.8793,0.8857,888,223,101,1010,xgb,f1_score,0.9816
P16050,Enzyme,0.9816,0.9769,0.4809,0.5627,0.9939,0.9935,0.8696,0.8771,0.9947,0.9948,0.9035,0.904,0.9947,0.9947,0.8973,0.8978,4558,1140,154,5544,svc,f1_score,0.9948
O60911,Enzyme,0.9281,0.9132,0.414,0.4687,0.9712,0.9688,0.8031,0.8191,0.9568,0.9568,0.7454,0.7454,0.9568,0.9552,0.7266,0.7296,554,139,63,630,rf,f1_score,0.9688
P43405,Kinase,0.9962,0.9962,0.9769,0.9772,0.9962,0.9962,0.9772,0.9772,0.9941,0.9941,0.9645,0.9645,0.9973,0.9973,0.9837,0.9837,7462,1866,848,8480,mlp,f1_score,0.9973
P46093,GPCR,1.0,1.0,1.0,1.0,0.9875,0.9871,0.9163,0.9195,1.0,1.0,1.0,1.0,0.975,0.9764,0.8614,0.8698,316,80,36,360,xgb,f1_score,1.0
P21453,GPCR,0.9954,0.9953,0.9715,0.9717,0.9971,0.9971,0.9822,0.9824,0.9948,0.9948,0.9687,0.9688,0.996,0.996,0.9758,0.976,6916,1730,786,7860,rf,f1_score,0.9971
O14939,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9938,0.9939,0.9643,0.9649,1.0,1.0,1.0,1.0,642,161,73,730,xgb,f1_score,1.0
Q9UQB9,Kinase,0.9636,0.9594,0.7317,0.7596,0.9818,0.9809,0.8791,0.8856,0.9818,0.9809,0.8791,0.8856,0.9818,0.9809,0.8791,0.8856,220,55,25,250,rf,f1_score,0.9809
P23443,Kinase,0.9949,0.9949,0.9687,0.9691,0.9966,0.9966,0.9793,0.9795,0.9932,0.9932,0.9592,0.9592,0.9966,0.9966,0.9793,0.9795,2367,592,269,2690,rf,f1_score,0.9966
O15151,Other,0.8889,0.8902,0.7568,0.7593,0.963,0.9624,0.9143,0.9177,0.963,0.9624,0.9143,0.9177,0.963,0.9624,0.9143,0.9177,105,27,44,88,rf,f1_score,0.9624
Q15046,Enzyme,0.963,0.9634,0.9189,0.922,0.963,0.9634,0.9189,0.922,0.963,0.9634,0.9189,0.922,0.963,0.9634,0.9189,0.922,108,27,45,90,xgb,f1_score,0.9634
Q06418,Kinase,0.9811,0.9802,0.8787,0.8853,0.9811,0.9802,0.8787,0.8853,0.9811,0.9802,0.8787,0.8853,0.9811,0.9802,0.8787,0.8853,211,53,24,240,xgb,f1_score,0.9802
O14746,Enzyme,0.9831,0.9823,0.8875,0.8931,0.9831,0.9823,0.8875,0.8931,0.9803,0.9801,0.8781,0.8782,0.9775,0.9771,0.8586,0.8592,1416,355,161,1610,xgb,f1_score,0.9823
Q03181,NR,0.9948,0.9947,0.9677,0.9678,0.9974,0.9974,0.9839,0.984,0.9908,0.9909,0.9453,0.9456,0.9843,0.9839,0.9005,0.9016,3044,762,346,3460,rf,f1_score,0.9974
P05362,Other,0.9865,0.9861,0.9116,0.9152,0.9955,0.9955,0.9719,0.9723,0.9955,0.9955,0.9719,0.9723,0.9955,0.9955,0.9719,0.9723,888,223,101,1010,rf,f1_score,0.9955
P31751,Kinase,0.9919,0.9918,0.9497,0.9501,0.9903,0.9901,0.9381,0.9399,0.9968,0.9968,0.9804,0.9804,0.9968,0.9968,0.9804,0.9804,2472,619,281,2810,svc,f1_score,0.9968
P10276,NR,1.0,1.0,1.0,1.0,0.9928,0.9927,0.9561,0.957,0.9928,0.9929,0.959,0.9598,1.0,1.0,1.0,1.0,554,139,63,630,xgb,f1_score,1.0
Q8TDV5,GPCR,0.9899,0.9896,0.9356,0.9376,0.9959,0.9959,0.975,0.9754,0.998,0.998,0.9876,0.9877,0.9919,0.9918,0.9501,0.9504,1971,493,224,2240,svc,f1_score,0.998
P35408,GPCR,0.9967,0.9967,0.98,0.98,0.9951,0.995,0.9693,0.9697,0.9951,0.9951,0.9707,0.9712,0.9902,0.9903,0.942,0.9427,2437,610,277,2770,xgb,f1_score,0.9967
P20618,Enzyme,0.9275,0.903,0.2675,0.393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9855,0.986,0.9151,0.9184,272,69,31,310,rf,f1_score,1.0
P61073,GPCR,0.9834,0.9809,0.6798,0.7176,0.9917,0.9912,0.8607,0.8692,0.9967,0.9966,0.9483,0.9496,0.9934,0.993,0.8914,0.8967,2416,604,104,2916,svc,f1_score,0.9966
P43235,Enzyme,0.9809,0.9809,0.957,0.957,0.9821,0.982,0.9593,0.9597,0.9582,0.9584,0.9072,0.9079,0.9821,0.9821,0.9596,0.9596,3348,837,1395,2790,mlp,f1_score,0.9821
P78536,Enzyme,0.9988,0.9988,0.993,0.993,0.9988,0.9988,0.993,0.993,0.9946,0.9947,0.968,0.9682,0.9977,0.9977,0.9861,0.9861,10428,2607,1185,11850,xgb,f1_score,0.9988
P28702,NR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,545,137,62,620,xgb,f1_score,1.0
P08172,GPCR,0.9754,0.9752,0.9439,0.9448,0.9809,0.9808,0.9565,0.957,0.9481,0.9484,0.8848,0.8856,0.9617,0.9615,0.9129,0.9135,1464,366,610,1220,rf,f1_score,0.9808
P08631,Kinase,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9842,0.9848,0.9102,0.9139,0.9947,0.9947,0.9668,0.9674,756,190,86,860,xgb,f1_score,1.0
P30411,GPCR,0.9917,0.9912,0.8351,0.8402,0.9954,0.9953,0.9143,0.9148,0.9963,0.9963,0.9346,0.9347,0.9954,0.9954,0.917,0.917,8638,2160,310,10488,svc,f1_score,0.9963
O43924,Enzyme,0.9902,0.9899,0.9358,0.9378,0.9902,0.9899,0.9358,0.9378,0.9804,0.9813,0.8893,0.8948,0.9804,0.9813,0.8893,0.8948,404,102,46,460,xgb,f1_score,0.9899
Q9Y2D0,Enzyme,0.9821,0.9816,0.885,0.8864,0.9865,0.9867,0.9194,0.9198,0.9507,0.9531,0.7285,0.7341,0.9865,0.9861,0.9116,0.9152,888,223,101,1010,rf,f1_score,0.9867
O00767,Enzyme,0.9954,0.9952,0.9056,0.9096,0.9964,0.9963,0.9272,0.9297,0.9974,0.9974,0.9499,0.9499,0.9967,0.9967,0.9381,0.9381,12224,3057,413,14868,svc,f1_score,0.9974
P78540,Enzyme,0.9839,0.9832,0.9003,0.9048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,246,62,28,280,rf,f1_score,1.0
P08588,GPCR,0.9938,0.9934,0.8664,0.8743,0.9969,0.9968,0.9372,0.939,0.9964,0.9963,0.9288,0.9293,0.9969,0.9968,0.9384,0.9392,7725,1932,261,9396,mlp,f1_score,0.9968
P14061,Enzyme,0.9925,0.9921,0.8416,0.8473,0.997,0.9969,0.9396,0.9414,0.9965,0.9965,0.9351,0.9355,0.9985,0.9985,0.9712,0.9712,7992,1998,270,9720,mlp,f1_score,0.9985
P11137,Other,0.9904,0.9901,0.936,0.9379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,413,104,47,470,rf,f1_score,1.0
P27338,Enzyme,0.9211,0.9205,0.8197,0.8207,0.9427,0.9416,0.8667,0.871,0.8925,0.8915,0.7541,0.755,0.9247,0.9244,0.8293,0.8295,1113,279,464,928,rf,f1_score,0.9416
P29401,Enzyme,0.9811,0.9802,0.8787,0.8853,0.9906,0.9903,0.9422,0.9438,0.9811,0.9819,0.8987,0.9033,0.9717,0.9723,0.8415,0.8427,422,106,48,480,rf,f1_score,0.9903
P09958,Enzyme,0.9938,0.9937,0.9621,0.9628,0.9876,0.9872,0.9218,0.9246,0.9876,0.9879,0.9306,0.9329,0.9814,0.9816,0.8929,0.8935,642,161,73,730,xgb,f1_score,0.9937
Q9H5J4,Other,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9884,0.9887,0.9347,0.9367,1.0,1.0,1.0,1.0,686,172,78,780,xgb,f1_score,1.0
O95822,Enzyme,0.9894,0.9892,0.9339,0.9347,0.9894,0.9891,0.9325,0.9346,0.9958,0.9958,0.9744,0.9744,0.9894,0.9892,0.9339,0.9347,1883,471,214,2140,svc,f1_score,0.9958
P14416,GPCR,0.9774,0.9774,0.9491,0.9491,0.9739,0.9738,0.9409,0.9411,0.9697,0.9698,0.9323,0.9325,0.9774,0.9774,0.9489,0.9491,5676,1419,2365,4730,xgb,f1_score,0.9774
P16499,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,404,102,46,460,xgb,f1_score,1.0
P07339,Enzyme,0.9818,0.9817,0.9588,0.9589,0.9818,0.9817,0.9588,0.9589,0.9787,0.9787,0.9523,0.9523,0.9726,0.9727,0.9387,0.9387,1312,329,547,1094,xgb,f1_score,0.9817
P07477,Enzyme,0.9916,0.9916,0.981,0.981,0.9937,0.9937,0.9857,0.9857,0.9831,0.9832,0.9624,0.9628,0.9684,0.9685,0.9294,0.9296,1893,474,789,1578,rf,f1_score,0.9937
Q15722,GPCR,0.9923,0.9921,0.951,0.9521,0.9897,0.9894,0.9338,0.9358,0.9897,0.9896,0.9355,0.936,0.9871,0.987,0.9205,0.9206,1548,388,176,1760,xgb,f1_score,0.9921
P15144,Enzyme,0.9784,0.9771,0.8551,0.8642,0.9784,0.9778,0.8632,0.8652,0.9838,0.984,0.9053,0.9058,0.973,0.9718,0.8241,0.8287,739,185,84,840,svc,f1_score,0.984
P34972,GPCR,0.9943,0.9942,0.9647,0.965,0.99,0.9898,0.9373,0.9382,0.99,0.9901,0.9409,0.9413,0.9945,0.9945,0.9668,0.9668,16790,4198,1908,19080,mlp,f1_score,0.9945
P23141,Enzyme,0.9861,0.9856,0.9105,0.9142,0.9834,0.9826,0.891,0.8964,0.9668,0.968,0.815,0.8185,0.9584,0.9538,0.696,0.7215,1443,361,164,1640,xgb,f1_score,0.9856
Q9NYY3,Kinase,0.9623,0.9623,0.7792,0.7792,0.9811,0.9802,0.8787,0.8853,1.0,1.0,1.0,1.0,0.9623,0.9623,0.7792,0.7792,211,53,24,240,svc,f1_score,1.0
Q9GZT9,Other,0.9935,0.9934,0.9594,0.9602,0.9935,0.9934,0.9594,0.9602,0.9935,0.9935,0.9611,0.9612,0.9935,0.9934,0.9594,0.9602,1839,460,209,2090,svc,f1_score,0.9935
P04278,Other,1.0,1.0,1.0,1.0,0.9949,0.9948,0.9686,0.9691,0.9949,0.995,0.9702,0.9706,0.9949,0.9948,0.9686,0.9691,783,196,89,890,xgb,f1_score,1.0
O75874,Enzyme,0.9974,0.9974,0.9843,0.9844,1.0,1.0,1.0,1.0,0.9974,0.9975,0.9847,0.9848,0.9987,0.9987,0.9923,0.9923,3124,781,355,3550,rf,f1_score,1.0
P12821,Enzyme,0.997,0.997,0.9424,0.9425,0.9996,0.9996,0.9918,0.9918,0.9948,0.995,0.9078,0.9095,0.9991,0.9991,0.9834,0.9836,9264,2317,313,11268,rf,f1_score,0.9996
O60563,Other,0.9978,0.9977,0.9566,0.9575,0.9993,0.9993,0.9859,0.986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5416,1355,183,6588,svc,f1_score,1.0
P41146,GPCR,0.9961,0.9961,0.9763,0.9765,0.9928,0.9927,0.955,0.9557,0.9947,0.9948,0.9687,0.969,0.9957,0.9957,0.9739,0.9739,8307,2077,944,9440,xgb,f1_score,0.9961
P53634,Enzyme,0.9975,0.9974,0.9495,0.9507,0.9981,0.9981,0.9626,0.9633,0.9975,0.9975,0.9518,0.9518,0.9992,0.9992,0.9838,0.9838,18914,4729,639,23004,mlp,f1_score,0.9992
Q99558,Kinase,0.9947,0.9948,0.9685,0.9687,0.9989,0.9989,0.9936,0.9936,0.9989,0.9989,0.9936,0.9936,0.9989,0.9989,0.9936,0.9936,3792,949,431,4310,rf,f1_score,0.9989
Q9NWZ3,Kinase,0.9934,0.9933,0.9579,0.9588,0.9934,0.9933,0.9579,0.9588,0.9934,0.9934,0.9593,0.9593,0.9934,0.9933,0.9579,0.9588,1205,302,137,1370,svc,f1_score,0.9934
P29597,Kinase,0.9565,0.9571,0.9053,0.9094,1.0,1.0,1.0,1.0,0.9565,0.9571,0.9053,0.9094,0.9565,0.9571,0.9053,0.9094,273,69,114,228,rf,f1_score,1.0
P05091,Enzyme,0.9854,0.9828,0.6335,0.6809,0.9951,0.9949,0.9007,0.9052,0.9951,0.9951,0.9066,0.907,0.9951,0.9949,0.9007,0.9052,2456,615,83,2988,svc,f1_score,0.9951
P20839,Enzyme,0.9954,0.9953,0.9718,0.9722,1.0,1.0,1.0,1.0,0.9861,0.9865,0.9226,0.9253,0.9861,0.986,0.9154,0.9158,862,216,98,980,rf,f1_score,1.0
Q14680,Kinase,0.9993,0.9993,0.9955,0.9955,0.9993,0.9993,0.9955,0.9955,0.9993,0.9993,0.9955,0.9956,1.0,1.0,1.0,1.0,5429,1358,617,6170,mlp,f1_score,1.0
Q04828,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9167,0.9228,0.75,0.7746,1.0,1.0,1.0,1.0,96,24,20,100,xgb,f1_score,1.0
P17655,Other,0.9872,0.9853,0.6784,0.7164,0.9947,0.9944,0.8862,0.892,0.9957,0.9956,0.9109,0.9145,0.9979,0.9978,0.9572,0.9581,3759,940,127,4572,mlp,f1_score,0.9978
P51686,GPCR,0.9874,0.9855,0.6865,0.723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9937,0.9933,0.8635,0.8717,2545,637,86,3096,rf,f1_score,1.0
O00408,Enzyme,0.9964,0.9962,0.9263,0.9281,0.998,0.998,0.9612,0.9619,0.9989,0.9989,0.9786,0.9786,0.9978,0.9977,0.9563,0.9565,14267,3567,482,17352,svc,f1_score,0.9989
Q12860,Other,0.9939,0.9938,0.9622,0.9629,1.0,1.0,1.0,1.0,0.9939,0.994,0.9644,0.965,0.9939,0.9938,0.9622,0.9629,660,165,75,750,rf,f1_score,1.0
Q9NXG6,Enzyme,0.9787,0.9773,0.8459,0.8561,0.9787,0.9773,0.8459,0.8561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,184,47,21,210,svc,f1_score,1.0
P07947,Kinase,0.9823,0.9814,0.8794,0.8859,0.9823,0.9814,0.8794,0.8859,0.9912,0.9909,0.9426,0.9441,0.9735,0.9728,0.8277,0.829,448,113,51,510,svc,f1_score,0.9909
P15086,Enzyme,0.9733,0.9713,0.8193,0.833,0.9867,0.9862,0.9158,0.9191,0.9467,0.9467,0.6849,0.6849,0.9733,0.9733,0.8424,0.8424,299,75,34,340,rf,f1_score,0.9862
O00398,GPCR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,228,58,26,260,xgb,f1_score,1.0
Q9H2K2,Enzyme,0.9931,0.993,0.9573,0.9581,0.9885,0.9882,0.9271,0.9296,0.9725,0.9731,0.842,0.8431,0.9908,0.9907,0.9437,0.9441,1742,436,198,1980,xgb,f1_score,0.993
P11474,NR,0.9219,0.8956,0.2661,0.3917,1.0,1.0,1.0,1.0,0.9688,0.9707,0.84,0.851,0.9531,0.9459,0.6444,0.6895,255,64,29,290,rf,f1_score,1.0
P06401,NR,0.9877,0.9875,0.9227,0.9235,0.9884,0.9881,0.9259,0.9278,0.9877,0.9877,0.926,0.9261,0.9855,0.9855,0.9126,0.9127,5508,1378,626,6260,rf,f1_score,0.9881
Q13393,Enzyme,0.9893,0.989,0.9317,0.9339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,748,187,85,850,rf,f1_score,1.0
P30989,GPCR,0.9913,0.9911,0.9426,0.9442,0.9913,0.9911,0.9426,0.9442,1.0,1.0,1.0,1.0,0.9913,0.9911,0.9426,0.9442,457,115,52,520,svc,f1_score,1.0
P02708,IC,0.9167,0.9048,0.625,0.6742,0.9583,0.9601,0.8636,0.8718,0.875,0.8803,0.5909,0.5965,0.9167,0.9167,0.7,0.7,96,24,20,100,rf,f1_score,0.9601
P33316,Enzyme,0.9904,0.9893,0.7758,0.7961,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979,0.9978,0.9572,0.9581,3729,933,126,4536,rf,f1_score,1.0
P56192,Enzyme,0.9516,0.9442,0.6437,0.6889,0.9839,0.9832,0.9003,0.9048,0.9677,0.9677,0.8155,0.8155,0.9677,0.9677,0.8155,0.8155,246,62,28,280,rf,f1_score,0.9832
P00492,Enzyme,0.987,0.9866,0.916,0.9193,0.987,0.9866,0.916,0.9193,1.0,1.0,1.0,1.0,0.987,0.9866,0.916,0.9193,308,77,35,350,svc,f1_score,1.0
P55210,Enzyme,0.9917,0.9909,0.8141,0.8285,0.9975,0.9974,0.9503,0.9515,0.9967,0.9967,0.9386,0.939,0.9967,0.9966,0.9358,0.9359,9620,2405,325,11700,rf,f1_score,0.9974
P15328,Other,0.9828,0.9819,0.8797,0.8861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9483,0.9379,0.5492,0.6153,228,58,26,260,rf,f1_score,1.0
P04049,Kinase,0.9894,0.9893,0.9354,0.9356,0.9965,0.9964,0.9785,0.9787,0.9894,0.9895,0.9376,0.9378,0.993,0.9928,0.9561,0.9571,1135,284,129,1290,rf,f1_score,0.9964
P18825,GPCR,0.989,0.9877,0.742,0.768,0.9938,0.9934,0.8682,0.8758,0.9914,0.9915,0.8404,0.8405,0.9943,0.9941,0.8839,0.8865,8376,2095,283,10188,mlp,f1_score,0.9941
P34903,IC,0.9704,0.9676,0.7847,0.8035,0.9704,0.9714,0.8299,0.8329,0.9556,0.9584,0.7615,0.7713,0.9704,0.9691,0.8022,0.8062,536,135,61,610,rf,f1_score,0.9714
P09467,Enzyme,0.9961,0.996,0.9211,0.924,0.9989,0.9989,0.9786,0.9788,0.9983,0.9983,0.9682,0.9683,0.9978,0.9978,0.9589,0.9591,7252,1813,245,8820,rf,f1_score,0.9989
